Abort	Erthylu
Accept	Derbyn
Access (n)	Cyrchiad
Access (v)	Cyrchu
Accessibility  Hygyrchedd  [-m]
Accession   Esgyniad
Account Cyfrif [-on]
Action	Gweithred [-oedd, f.]
Active	Gweithredol
Activity	Gweithgaredd [-au]
Additional	Ychwanegol
Address	Cyfeiriad
Add	Ychwanegu
Adhoc Adhoc
Administer	Gweinyddu
Administration	Gweinyddiaeth
Administrator	Gweinyddiwr
Advanced	Uwch
Alert	Rhybudd
Alias	Ffugenw
Alien Aliwn
Allocated	Neilltuwyd
Allocate	Neilltuo
Allow	Caniatáu
All	Pob Un / Popeth
Ambiguous   Amwys
Anchor	Angor [-au]
Appearance	Ymddangosiad / Golwg
Application	Cymhwysiad / Rhaglen
Apply	Gweithredu / Rhoi / Gosod / Cymhwyso
Approval	Cymeradwyo / Cymeradwyad
Approve	Cymeradwyo
Approved	Cymeradwyd
Archive (n)	Archif [-au]
Archive (v)	Archifio
Area	Ardal
Argument	Ymresymiad
Ascending   Esgynnol
Aspect	Agwedd
Asset	Ased [Asedion]
Assignee	Aseinai / Trosglwyddydd
Assign	Neilltuo
Associated	Cysylltiedig
Association	Cysylltiad
Asynchronous   Anghydamseredig
Attach	Atodi
Attachment	Atodiad
Attempt	Cais
Audit	Archwiliad
Authentication	Dilysiant
Author	Awdur
Authorise   Awdurdodi
Authority   Awdurdod
Automatic	Ymysgogol
Available	Ar gael
Avatar	Avatar
Back	Nôl
Bar	Bar [-rau]
Begin	Dechrau / Cychwyn
Bidirectional   Deugyfeiriol
Biography	Bywgraffiad
Body	Corff
Boolean Boolaidd
Bootstrap   Llwytho-mwdwl v.
Both	Y ddwy
Box	Blwch
Broken	Toredig
Browser	Porwr
Bug	Gwall
Button	Botwm
Bypass   Osgoi
Calendar	Calendr
Cancel	Diddymu
Case	Priflythrennedd
Categorization	Categoreiddio
Category	Categori [-ïau, m.]
Certify	Dystysgrifo
Change	Newid
Characters	Nodau
Characteristic  Nodwedd (-ion)
Check (n)	Gwiriad [-au, m.]
Check (v)	Gwirio
Check In	Gwirio i Fewn
Check Out	Gwirio Allan
